libpango-1.0-0:amd64	1.57.0-1
libpangocairo-1.0-0:amd64	1.57.0-1
libpangoft2-1.0-0:amd64	1.57.0-1
libpciaccess0:amd64	0.18.1-1ubuntu4.1
libpcre2-16-0:amd64	10.46-1build1
libpcre2-8-0:amd64	10.46-1build1
libpcsclite1:amd64	2.4.1-1
libperl5.40:amd64	5.40.1-7ubuntu0.1
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build2
libpipewire-0.3-0t64:amd64	1.6.2-1ubuntu1.1
libpipewire-0.3-modules:amd64	1.6.2-1ubuntu1.1
libpixman-1-0:amd64	0.46.4-1
libplacebo360:amd64	7.360.0-3
libplasma7:amd64	6.6.6-0ubuntu0.1
libplasmaactivities-data	6.6.4-0ubuntu1
libplasmaactivities7:amd64	6.6.4-0ubuntu1
libplasmaquick7:amd64	6.6.6-0ubuntu0.1
libplist-2.0-4:amd64	2.7.0+git20250820-1build1
libplymouth5:amd64	24.004.60+git20250831.4a3c171d-0ubuntu8
libpng16-16t64:amd64	1.6.57-1
libpolkit-agent-1-0:amd64	127-2ubuntu1
libpolkit-gobject-1-0:amd64	127-2ubuntu1
libpolkit-qt6-1-1:amd64	0.200.0-4ubuntu1
libpoppler-qt6-3t64:amd64	26.01.0-2ubuntu0.1
libpoppler156:amd64	26.01.0-2ubuntu0.1
libpopt0:amd64	1.19+dfsg-2build1
libpowerdevilcore2:amd64	4:6.6.6-0ubuntu0.1
libproc2-0:amd64	2:4.0.4-9ubuntu1
libproxy1v5:amd64	0.5.12-1
libpskc0t64:amd64	2.6.14-1
libpsl5t64:amd64	0.21.2-1.1build2
libpulse-mainloop-glib0:amd64	1:17.0+dfsg1-2ubuntu4
libpulse0:amd64	1:17.0+dfsg1-2ubuntu4
libpyside6-py3-6.10	6.10.2-6ubuntu1
libpython3-stdlib:amd64	3.14.3-0ubuntu2
libpython3.14-minimal:amd64	3.14.4-1ubuntu0.1
libpython3.14-stdlib:amd64	3.14.4-1ubuntu0.1
libqaccessibilityclient-qt6-0:amd64	0.6.0-4ubuntu1
libqca-qt6-2:amd64	2.3.10-2
libqcoro6dbus0t64:amd64	0.13.0-1ubuntu2
libqmobipocket6-3:amd64	4:25.12.3-0ubuntu1
libqrencode4:amd64	4.1.1-2build1
libqt5core5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5dbus5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5gui5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5network5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5svg5:amd64	5.15.18-1
libqt5widgets5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5x11extras5:amd64	5.15.18-1
libqt6core5compat6:amd64	6.10.2-1
libqt6core6t64:amd64	6.10.2+dfsg-7
libqt6dbus6:amd64	6.10.2+dfsg-7
libqt6gui6:amd64	6.10.2+dfsg-7
libqt6multimedia6:amd64	6.10.2-2
libqt6multimediawidgets6:amd64	6.10.2-2
libqt6network6:amd64	6.10.2+dfsg-7
libqt6opengl6:amd64	6.10.2+dfsg-7
libqt6openglwidgets6:amd64	6.10.2+dfsg-7
libqt6positioning6:amd64	6.10.2-1
libqt6printsupport6:amd64	6.10.2+dfsg-7
libqt6qml6:amd64	6.10.2+dfsg-3
libqt6qmlmeta6:amd64	6.10.2+dfsg-3
