2026-04-20 18:05:17 install libaudit1:amd64 <none> 1:4.1.2-1build1
2026-04-20 18:05:17 status half-installed libaudit1:amd64 1:4.1.2-1build1
2026-04-20 18:05:17 status unpacked libaudit1:amd64 1:4.1.2-1build1
2026-04-20 18:05:17 install libblkid1:amd64 <none> 2.41.3-3ubuntu2
2026-04-20 18:05:17 status half-installed libblkid1:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:17 status unpacked libblkid1:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:17 install libbsd0:amd64 <none> 0.12.2-2build2
2026-04-20 18:05:17 status half-installed libbsd0:amd64 0.12.2-2build2
2026-04-20 18:05:17 status unpacked libbsd0:amd64 0.12.2-2build2
2026-04-20 18:05:17 install libbz2-1.0:amd64 <none> 1.0.8-6build2
2026-04-20 18:05:17 status half-installed libbz2-1.0:amd64 1.0.8-6build2
2026-04-20 18:05:17 status unpacked libbz2-1.0:amd64 1.0.8-6build2
2026-04-20 18:05:17 install libc-bin:amd64 <none> 2.43-2ubuntu2
2026-04-20 18:05:17 status half-installed libc-bin:amd64 2.43-2ubuntu2
2026-04-20 18:05:17 status unpacked libc-bin:amd64 2.43-2ubuntu2
2026-04-20 18:05:17 install libc-gconv-modules-extra:amd64 <none> 2.43-2ubuntu2
2026-04-20 18:05:17 status half-installed libc-gconv-modules-extra:amd64 2.43-2ubuntu2
2026-04-20 18:05:17 status unpacked libc-gconv-modules-extra:amd64 2.43-2ubuntu2
2026-04-20 18:05:17 upgrade libc6:amd64 2.43-2ubuntu2 2.43-2ubuntu2
2026-04-20 18:05:17 status half-configured libc6:amd64 2.43-2ubuntu2
2026-04-20 18:05:17 status unpacked libc6:amd64 2.43-2ubuntu2
2026-04-20 18:05:17 status half-installed libc6:amd64 2.43-2ubuntu2
2026-04-20 18:05:17 status unpacked libc6:amd64 2.43-2ubuntu2
2026-04-20 18:05:17 install libcap-ng0:amd64 <none> 0.8.5-4build5
2026-04-20 18:05:17 status half-installed libcap-ng0:amd64 0.8.5-4build5
2026-04-20 18:05:17 status unpacked libcap-ng0:amd64 0.8.5-4build5
2026-04-20 18:05:17 install libcom-err2:amd64 <none> 1.47.2-3ubuntu4
2026-04-20 18:05:17 status half-installed libcom-err2:amd64 1.47.2-3ubuntu4
2026-04-20 18:05:17 status unpacked libcom-err2:amd64 1.47.2-3ubuntu4
2026-04-20 18:05:17 install libcrypt1:amd64 <none> 1:4.5.1-1
2026-04-20 18:05:17 status half-installed libcrypt1:amd64 1:4.5.1-1
2026-04-20 18:05:17 status unpacked libcrypt1:amd64 1:4.5.1-1
2026-04-20 18:05:18 install libdb5.3t64:amd64 <none> 5.3.28+dfsg2-10ubuntu1
2026-04-20 18:05:18 status half-installed libdb5.3t64:amd64 5.3.28+dfsg2-10ubuntu1
2026-04-20 18:05:18 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-10ubuntu1
2026-04-20 18:05:18 install libdebconfclient0:amd64 <none> 0.280ubuntu1
2026-04-20 18:05:18 status half-installed libdebconfclient0:amd64 0.280ubuntu1
2026-04-20 18:05:18 status unpacked libdebconfclient0:amd64 0.280ubuntu1
2026-04-20 18:05:18 install libext2fs2t64:amd64 <none> 1.47.2-3ubuntu4
2026-04-20 18:05:18 status half-installed libext2fs2t64:amd64 1.47.2-3ubuntu4
2026-04-20 18:05:18 status unpacked libext2fs2t64:amd64 1.47.2-3ubuntu4
2026-04-20 18:05:18 install libgcc-s1:amd64 <none> 16-20260322-1ubuntu1
2026-04-20 18:05:18 status half-installed libgcc-s1:amd64 16-20260322-1ubuntu1
2026-04-20 18:05:18 status unpacked libgcc-s1:amd64 16-20260322-1ubuntu1
2026-04-20 18:05:18 install libgmp10:amd64 <none> 2:6.3.0+dfsg-5ubuntu2
2026-04-20 18:05:18 status half-installed libgmp10:amd64 2:6.3.0+dfsg-5ubuntu2
2026-04-20 18:05:18 status unpacked libgmp10:amd64 2:6.3.0+dfsg-5ubuntu2
2026-04-20 18:05:18 install liblzma5:amd64 <none> 5.8.3-1
2026-04-20 18:05:18 status half-installed liblzma5:amd64 5.8.3-1
2026-04-20 18:05:18 status unpacked liblzma5:amd64 5.8.3-1
2026-04-20 18:05:18 install libmd0:amd64 <none> 1.1.0-2build4
2026-04-20 18:05:18 status half-installed libmd0:amd64 1.1.0-2build4
2026-04-20 18:05:18 status unpacked libmd0:amd64 1.1.0-2build4
2026-04-20 18:05:18 install libmount1:amd64 <none> 2.41.3-3ubuntu2
2026-04-20 18:05:18 status half-installed libmount1:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:18 status unpacked libmount1:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:18 install libncursesw6:amd64 <none> 6.6+20251231-1
2026-04-20 18:05:18 status half-installed libncursesw6:amd64 6.6+20251231-1
2026-04-20 18:05:18 status unpacked libncursesw6:amd64 6.6+20251231-1
2026-04-20 18:05:18 install libpam-modules:amd64 <none> 1.7.0-5ubuntu3
2026-04-20 18:05:18 status half-installed libpam-modules:amd64 1.7.0-5ubuntu3
2026-04-20 18:05:18 status unpacked libpam-modules:amd64 1.7.0-5ubuntu3
2026-04-20 18:05:18 install libpam-modules-bin:amd64 <none> 1.7.0-5ubuntu3
2026-04-20 18:05:18 status half-installed libpam-modules-bin:amd64 1.7.0-5ubuntu3
2026-04-20 18:05:18 status unpacked libpam-modules-bin:amd64 1.7.0-5ubuntu3
2026-04-20 18:05:18 install libpam-runtime:all <none> 1.7.0-5ubuntu3
2026-04-20 18:05:18 status half-installed libpam-runtime:all 1.7.0-5ubuntu3
2026-04-20 18:05:18 status unpacked libpam-runtime:all 1.7.0-5ubuntu3
2026-04-20 18:05:18 install libpam0g:amd64 <none> 1.7.0-5ubuntu3
2026-04-20 18:05:18 status half-installed libpam0g:amd64 1.7.0-5ubuntu3
2026-04-20 18:05:18 status unpacked libpam0g:amd64 1.7.0-5ubuntu3
2026-04-20 18:05:18 install libpcre2-8-0:amd64 <none> 10.46-1build1
2026-04-20 18:05:18 status half-installed libpcre2-8-0:amd64 10.46-1build1
2026-04-20 18:05:18 status unpacked libpcre2-8-0:amd64 10.46-1build1
2026-04-20 18:05:18 install libproc2-0:amd64 <none> 2:4.0.4-9ubuntu1
2026-04-20 18:05:18 status half-installed libproc2-0:amd64 2:4.0.4-9ubuntu1
2026-04-20 18:05:18 status unpacked libproc2-0:amd64 2:4.0.4-9ubuntu1
2026-04-20 18:05:18 install libselinux1:amd64 <none> 3.9-4build1
2026-04-20 18:05:18 status half-installed libselinux1:amd64 3.9-4build1
2026-04-20 18:05:18 status unpacked libselinux1:amd64 3.9-4build1
2026-04-20 18:05:18 install libsemanage-common:all <none> 3.9-1build1
2026-04-20 18:05:18 status half-installed libsemanage-common:all 3.9-1build1
2026-04-20 18:05:18 status unpacked libsemanage-common:all 3.9-1build1
2026-04-20 18:05:18 install libsemanage2:amd64 <none> 3.9-1build1
2026-04-20 18:05:18 status half-installed libsemanage2:amd64 3.9-1build1
2026-04-20 18:05:18 status unpacked libsemanage2:amd64 3.9-1build1
2026-04-20 18:05:18 install libsepol2:amd64 <none> 3.9-2
2026-04-20 18:05:18 status half-installed libsepol2:amd64 3.9-2
2026-04-20 18:05:18 status unpacked libsepol2:amd64 3.9-2
2026-04-20 18:05:18 install libsmartcols1:amd64 <none> 2.41.3-3ubuntu2
2026-04-20 18:05:18 status half-installed libsmartcols1:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:18 status unpacked libsmartcols1:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:18 install libss2:amd64 <none> 1.47.2-3ubuntu4
2026-04-20 18:05:18 status half-installed libss2:amd64 1.47.2-3ubuntu4
2026-04-20 18:05:18 status unpacked libss2:amd64 1.47.2-3ubuntu4
2026-04-20 18:05:18 install libssl3t64:amd64 <none> 3.5.5-1ubuntu3
2026-04-20 18:05:18 status half-installed libssl3t64:amd64 3.5.5-1ubuntu3
2026-04-20 18:05:18 status unpacked libssl3t64:amd64 3.5.5-1ubuntu3
2026-04-20 18:05:18 install libsystemd0:amd64 <none> 259.5-0ubuntu3
2026-04-20 18:05:18 status half-installed libsystemd0:amd64 259.5-0ubuntu3
2026-04-20 18:05:18 status unpacked libsystemd0:amd64 259.5-0ubuntu3
2026-04-20 18:05:18 install libtinfo6:amd64 <none> 6.6+20251231-1
2026-04-20 18:05:18 status half-installed libtinfo6:amd64 6.6+20251231-1
2026-04-20 18:05:18 status unpacked libtinfo6:amd64 6.6+20251231-1
2026-04-20 18:05:18 install libudev1:amd64 <none> 259.5-0ubuntu3
2026-04-20 18:05:18 status half-installed libudev1:amd64 259.5-0ubuntu3
2026-04-20 18:05:19 status unpacked libudev1:amd64 259.5-0ubuntu3
2026-04-20 18:05:19 install libuuid1:amd64 <none> 2.41.3-3ubuntu2
2026-04-20 18:05:19 status half-installed libuuid1:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:19 status unpacked libuuid1:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:19 install libzstd1:amd64 <none> 1.5.7+dfsg-3
2026-04-20 18:05:19 status half-installed libzstd1:amd64 1.5.7+dfsg-3
2026-04-20 18:05:19 status unpacked libzstd1:amd64 1.5.7+dfsg-3
2026-04-20 18:05:19 install login:amd64 <none> 1:4.16.0-2+really2.41.3-3ubuntu2
2026-04-20 18:05:19 status half-installed login:amd64 1:4.16.0-2+really2.41.3-3ubuntu2
2026-04-20 18:05:19 status unpacked login:amd64 1:4.16.0-2+really2.41.3-3ubuntu2
2026-04-20 18:05:19 install login.defs:all <none> 1:4.17.4-2ubuntu3
2026-04-20 18:05:19 status half-installed login.defs:all 1:4.17.4-2ubuntu3
2026-04-20 18:05:19 status unpacked login.defs:all 1:4.17.4-2ubuntu3
2026-04-20 18:05:19 install logsave:amd64 <none> 1.47.2-3ubuntu4
2026-04-20 18:05:19 status half-installed logsave:amd64 1.47.2-3ubuntu4
2026-04-20 18:05:19 status unpacked logsave:amd64 1.47.2-3ubuntu4
2026-04-20 18:05:19 upgrade mawk:amd64 1.3.4.20260129-1 1.3.4.20260129-1
2026-04-20 18:05:19 status half-configured mawk:amd64 1.3.4.20260129-1
2026-04-20 18:05:19 status unpacked mawk:amd64 1.3.4.20260129-1
2026-04-20 18:05:19 status half-installed mawk:amd64 1.3.4.20260129-1
2026-04-20 18:05:19 status unpacked mawk:amd64 1.3.4.20260129-1
2026-04-20 18:05:19 install mount:amd64 <none> 2.41.3-3ubuntu2
2026-04-20 18:05:19 status half-installed mount:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:19 status unpacked mount:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:19 install ncurses-base:all <none> 6.6+20251231-1
2026-04-20 18:05:19 status half-installed ncurses-base:all 6.6+20251231-1
2026-04-20 18:05:19 status unpacked ncurses-base:all 6.6+20251231-1
2026-04-20 18:05:19 install ncurses-bin:amd64 <none> 6.6+20251231-1
2026-04-20 18:05:19 status half-installed ncurses-bin:amd64 6.6+20251231-1
2026-04-20 18:05:19 status unpacked ncurses-bin:amd64 6.6+20251231-1
2026-04-20 18:05:19 install openssl-provider-legacy:amd64 <none> 3.5.5-1ubuntu3
2026-04-20 18:05:19 status half-installed openssl-provider-legacy:amd64 3.5.5-1ubuntu3
2026-04-20 18:05:19 status unpacked openssl-provider-legacy:amd64 3.5.5-1ubuntu3
2026-04-20 18:05:19 install passwd:amd64 <none> 1:4.17.4-2ubuntu3
2026-04-20 18:05:19 status half-installed passwd:amd64 1:4.17.4-2ubuntu3
2026-04-20 18:05:19 status unpacked passwd:amd64 1:4.17.4-2ubuntu3
2026-04-20 18:05:19 upgrade perl-base:amd64 5.40.1-7build1 5.40.1-7build1
2026-04-20 18:05:19 status half-configured perl-base:amd64 5.40.1-7build1
2026-04-20 18:05:19 status unpacked perl-base:amd64 5.40.1-7build1
2026-04-20 18:05:19 status half-installed perl-base:amd64 5.40.1-7build1
2026-04-20 18:05:19 status unpacked perl-base:amd64 5.40.1-7build1
2026-04-20 18:05:19 install procps:amd64 <none> 2:4.0.4-9ubuntu1
2026-04-20 18:05:19 status half-installed procps:amd64 2:4.0.4-9ubuntu1
2026-04-20 18:05:19 status unpacked procps:amd64 2:4.0.4-9ubuntu1
2026-04-20 18:05:19 install rust-coreutils:amd64 <none> 0.8.0-0ubuntu3
2026-04-20 18:05:19 status half-installed rust-coreutils:amd64 0.8.0-0ubuntu3
2026-04-20 18:05:20 status unpacked rust-coreutils:amd64 0.8.0-0ubuntu3
2026-04-20 18:05:20 install sed:amd64 <none> 4.9-2build3
2026-04-20 18:05:20 status half-installed sed:amd64 4.9-2build3
